info,match_date,venue_id,home_team_id,away_team_id,toss_winner_id,toss_decision,dl_applied,winning_team_id,kaggle_id
Royal Challengers Bangalore vs. Kolkata Knight Riders,18/04/08,112,862,861,862,field,0,861,335982
Kings XI Punjab vs. Chennai Super Kings,19/04/08,130,859,858,858,bat,0,858,335983
Delhi Daredevils vs. Rajasthan Royals,19/04/08,18,860,864,864,bat,0,860,335984
Mumbai Indians vs. Royal Challengers Bangalore,20/04/08,116,857,862,857,bat,0,862,335985
Kolkata Knight Riders vs. Deccan Chargers,20/04/08,110,861,6148,6148,bat,0,861,335986
Rajasthan Royals vs. Kings XI Punjab,21/04/08,172,864,859,859,bat,0,864,335987
Deccan Chargers vs. Delhi Daredevils,22/04/08,10,6148,860,6148,bat,0,860,335988
Chennai Super Kings vs. Mumbai Indians,23/04/08,109,858,857,857,field,0,858,335989
Deccan Chargers vs. Rajasthan Royals,24/04/08,10,6148,864,864,field,0,864,335990
Kings XI Punjab vs. Mumbai Indians,25/04/08,130,859,857,858,field,0,859,335991
Royal Challengers Bangalore vs. Rajasthan Royals,26/04/08,112,862,864,864,field,0,864,335992
Chennai Super Kings vs. Kolkata Knight Riders,26/04/08,109,858,861,861,bat,0,858,335993
Mumbai Indians vs. Deccan Chargers,27/04/08,542,857,6148,6148,field,0,6148,335994
Kings XI Punjab vs. Delhi Daredevils,27/04/08,130,859,860,6147,bat,0,859,335995
Royal Challengers Bangalore vs. Chennai Super Kings,28/04/08,112,862,858,858,bat,0,858,335996
Kolkata Knight Riders vs. Mumbai Indians,29/04/08,110,861,857,861,bat,0,857,335997
Delhi Daredevils vs. Royal Challengers Bangalore,30/04/08,18,860,862,862,field,0,860,335998
Deccan Chargers vs. Kings XI Punjab,01/05/08,10,6148,859,859,field,0,859,335999
Rajasthan Royals vs. Kolkata Knight Riders,01/05/08,172,864,861,864,bat,0,864,336000
Chennai Super Kings vs. Delhi Daredevils,02/05/08,109,858,860,859,bat,0,860,336001
Royal Challengers Bangalore vs. Deccan Chargers,03/05/08,112,862,6148,6148,field,0,862,336034
Kings XI Punjab vs. Kolkata Knight Riders,03/05/08,130,859,861,859,bat,0,859,336003
Mumbai Indians vs. Delhi Daredevils,04/05/08,542,857,860,6147,field,0,857,336004
Rajasthan Royals vs. Chennai Super Kings,04/05/08,172,864,858,858,bat,0,864,336005
Royal Challengers Bangalore vs. Kings XI Punjab,05/05/08,112,862,859,859,field,0,859,336006
Chennai Super Kings vs. Deccan Chargers,06/05/08,109,858,6148,6148,field,0,6148,336007
Mumbai Indians vs. Rajasthan Royals,07/05/08,542,857,864,857,field,0,857,336008
Delhi Daredevils vs. Chennai Super Kings,08/05/08,18,860,858,858,field,0,858,336009
Kolkata Knight Riders vs. Royal Challengers Bangalore,08/05/08,110,861,862,861,bat,0,861,336010
Rajasthan Royals vs. Deccan Chargers,09/05/08,172,864,6148,864,field,0,864,336011
Chennai Super Kings vs. Kings XI Punjab,10/05/08,109,858,859,859,field,0,858,336013
Rajasthan Royals vs. Delhi Daredevils,11/05/08,172,864,860,864,field,0,864,336015
Deccan Chargers vs. Kolkata Knight Riders,11/05/08,10,6148,861,861,bat,0,861,336014
Kings XI Punjab vs. Royal Challengers Bangalore,12/05/08,130,859,862,862,bat,0,859,336016
Kolkata Knight Riders vs. Delhi Daredevils,13/05/08,110,861,860,861,bat,0,861,336017
Mumbai Indians vs. Chennai Super Kings,14/05/08,116,857,858,857,field,0,857,336018
Delhi Daredevils vs. Deccan Chargers,15/05/08,18,860,6148,6148,field,0,860,336020
